"","V1","V2","V3","cluster"
"823",47,24,29,"2"
"824",46,25,29,"2"
"825",45,26,29,"2"
"826",44,27,29,"2"
"827",43,28,29,"2"
"828",42,29,29,"2"
"829",41,30,29,"2"
"830",40,31,29,"3"
"831",39,32,29,"3"
"832",38,33,29,"3"
"833",37,34,29,"3"
"834",36,35,29,"3"
"835",35,36,29,"3"
"836",34,37,29,"3"
"837",33,38,29,"3"
"838",32,39,29,"3"
"839",31,40,29,"3"
"840",30,41,29,"3"
"841",29,42,29,"3"
"842",28,43,29,"3"
"843",27,44,29,"3"
"844",26,45,29,"3"
"845",25,46,29,"3"
"846",50,20,30,"2"
"847",49,21,30,"2"
"848",48,22,30,"2"
"849",47,23,30,"2"
"850",46,24,30,"2"
"851",45,25,30,"2"
"852",44,26,30,"2"
"853",43,27,30,"2"
"854",42,28,30,"2"
"855",41,29,30,"2"
"856",40,30,30,"3"
"857",39,31,30,"3"
"858",38,32,30,"3"
"859",37,33,30,"3"
"860",36,34,30,"3"
"861",35,35,30,"3"
"862",34,36,30,"3"
"863",33,37,30,"3"
"864",32,38,30,"3"
"865",31,39,30,"3"
"866",30,40,30,"3"
"867",29,41,30,"3"
"868",28,42,30,"3"
"869",27,43,30,"3"
"870",26,44,30,"3"
"871",25,45,30,"3"
"872",49,20,31,"2"
"873",48,21,31,"2"
"874",47,22,31,"2"
"875",46,23,31,"2"
"876",45,24,31,"2"
"877",44,25,31,"2"
"878",43,26,31,"2"
"879",42,27,31,"2"
"880",41,28,31,"2"
"881",40,29,31,"2"
"882",39,30,31,"3"
"883",38,31,31,"3"
"884",37,32,31,"3"
"885",36,33,31,"3"
"886",35,34,31,"3"
"887",34,35,31,"3"
"888",33,36,31,"3"
"889",32,37,31,"3"
"890",31,38,31,"3"
"891",30,39,31,"3"
"892",29,40,31,"3"
"893",28,41,31,"3"
"894",27,42,31,"3"
"895",26,43,31,"3"
"896",25,44,31,"3"
"897",48,20,32,"2"
"898",47,21,32,"2"
"899",46,22,32,"2"
"900",45,23,32,"2"
"901",44,24,32,"2"
"902",43,25,32,"2"
"903",42,26,32,"2"
"904",41,27,32,"2"
"905",40,28,32,"2"
"906",39,29,32,"3"
"907",38,30,32,"3"
"908",37,31,32,"3"
"909",36,32,32,"3"
"910",35,33,32,"3"
"911",34,34,32,"3"
"912",33,35,32,"3"
"913",32,36,32,"3"
"914",31,37,32,"3"
"915",30,38,32,"3"
"916",29,39,32,"3"
"917",28,40,32,"3"
"918",27,41,32,"3"
"919",26,42,32,"3"
"920",25,43,32,"3"
"921",47,20,33,"2"
"922",46,21,33,"2"
"923",45,22,33,"2"
"924",44,23,33,"2"
"925",43,24,33,"2"
"926",42,25,33,"2"
"927",41,26,33,"2"
"928",40,27,33,"2"
"929",39,28,33,"2"
"930",38,29,33,"3"
"931",37,30,33,"3"
"932",36,31,33,"3"
"933",35,32,33,"3"
"934",34,33,33,"3"
"935",33,34,33,"3"
"936",32,35,33,"3"
"937",31,36,33,"3"
"938",30,37,33,"3"
"939",29,38,33,"3"
"940",28,39,33,"3"
"941",27,40,33,"3"
"942",26,41,33,"3"
"943",25,42,33,"3"
"944",46,20,34,"2"
"945",45,21,34,"2"
"946",44,22,34,"2"
"947",43,23,34,"2"
"948",42,24,34,"2"
"949",41,25,34,"2"
"950",40,26,34,"2"
"951",39,27,34,"2"
"952",38,28,34,"3"
"953",37,29,34,"3"
"954",36,30,34,"3"
"955",35,31,34,"3"
"956",34,32,34,"3"
"957",33,33,34,"3"
"958",32,34,34,"3"
"959",31,35,34,"3"
"960",30,36,34,"3"
"961",29,37,34,"3"
"962",28,38,34,"3"
"963",27,39,34,"3"
"964",26,40,34,"3"
"965",25,41,34,"3"
"966",45,20,35,"2"
"967",44,21,35,"2"
"968",43,22,35,"2"
"969",42,23,35,"2"
"970",41,24,35,"2"
"971",40,25,35,"2"
"972",39,26,35,"2"
"973",38,27,35,"2"
"974",37,28,35,"3"
"975",36,29,35,"3"
"976",35,30,35,"3"
"977",34,31,35,"3"
"978",33,32,35,"3"
"979",32,33,35,"3"
"980",31,34,35,"3"
"981",30,35,35,"3"
"982",29,36,35,"3"
"983",28,37,35,"3"
"984",27,38,35,"3"
"985",26,39,35,"3"
"986",25,40,35,"3"
"987",44,20,36,"2"
"988",43,21,36,"2"
"989",42,22,36,"2"
"990",41,23,36,"2"
"991",40,24,36,"2"
"992",39,25,36,"2"
"993",38,26,36,"2"
"994",37,27,36,"3"
"995",36,28,36,"3"
"996",35,29,36,"3"
"997",34,30,36,"3"
"998",33,31,36,"3"
"999",32,32,36,"3"
"1000",31,33,36,"3"
"1001",30,34,36,"3"
"1002",29,35,36,"3"
"1003",28,36,36,"3"
"1004",27,37,36,"3"
"1005",26,38,36,"3"
"1006",25,39,36,"3"
"1007",43,20,37,"2"
"1008",42,21,37,"2"
"1009",41,22,37,"2"
"1010",40,23,37,"2"
"1011",39,24,37,"2"
"1012",38,25,37,"2"
"1013",37,26,37,"1"
"1014",36,27,37,"1"
"1015",35,28,37,"3"
"1016",34,29,37,"3"
"1017",33,30,37,"3"
"1018",32,31,37,"3"
"1019",31,32,37,"3"
"1020",30,33,37,"3"
"1021",29,34,37,"3"
"1022",28,35,37,"3"
"1023",27,36,37,"3"
"1024",26,37,37,"3"
"1025",25,38,37,"3"
"1026",42,20,38,"2"
"1027",41,21,38,"2"
"1028",40,22,38,"2"
"1029",39,23,38,"2"
"1030",38,24,38,"1"
"1031",37,25,38,"1"
"1032",36,26,38,"1"
"1033",35,27,38,"1"
"1034",34,28,38,"1"
"1035",33,29,38,"3"
"1036",32,30,38,"3"
"1037",31,31,38,"3"
"1038",30,32,38,"3"
"1039",29,33,38,"3"
"1040",28,34,38,"3"
"1041",27,35,38,"3"
"1042",26,36,38,"3"
"1043",25,37,38,"3"
"1044",41,20,39,"2"
"1045",40,21,39,"2"
"1046",39,22,39,"1"
"1047",38,23,39,"1"
"1048",37,24,39,"1"
"1049",36,25,39,"1"
"1050",35,26,39,"1"
"1051",34,27,39,"1"
"1052",33,28,39,"1"
"1053",32,29,39,"1"
"1054",31,30,39,"3"
"1055",30,31,39,"3"
"1056",29,32,39,"3"
"1057",28,33,39,"3"
"1058",27,34,39,"3"
"1059",26,35,39,"3"
"1060",25,36,39,"3"
"1061",40,20,40,"1"
"1062",39,21,40,"1"
"1063",38,22,40,"1"
"1064",37,23,40,"1"
